total_population,avg_stars,percent_caucasian,has_wifi,yearly_household_income,price_range,people_per_household,is_wheelchair_accessible
34641,2.5,0.146935712,1,29183,2,2.69,0
37758,2.5,0.588590497,1,52045,1,2.54,0
51378,2.5,0.673264822,1,75307,2,2.56,0
46684,2.5,0.344250707,1,33787,2,2.33,0
61346,2.5,0.217569198,1,33469,2,3.39,0
47561,3,0.385757238,1,45297,1,2.78,0
7013,3.5,0.531584201,0,45257,2,1.89,0
7013,2.5,0.531584201,1,45257,1,1.89,0
7013,2,0.531584201,1,45257,1,1.89,0
39947,2.5,0.688261947,1,87267,2,3.07,0
24065,2.5,0.702638687,1,67900,1,3.22,0
41525,3.5,0.73396749,1,55329,2,2.59,0
7013,2,0.531584201,1,45257,2,1.89,0
38429,3.5,0.683129928,1,49570,1,2.68,0
42544,3.5,0.676546634,1,71066,2,3.32,0
24685,4,0.705732226,1,78902,1,3.38,0
38429,4,0.683129928,1,49570,1,2.68,0
32908,2,0.564908229,1,65309,2,2.79,0
34250,3.5,0.345547445,0,68167,2,3.1,0
57507,2.5,0.55617577,1,31600,1,2.34,0
16850,3.5,0.844510386,1,59840,1,1.98,0
33917,3.5,0.35958369,1,56629,2,3.49,0
51823,4,0.752947533,1,78649,2,3.11,0
14353,4,0.920086393,1,54513,2,2.23,0
25473,2.5,0.702861854,1,91483,1,2.41,0
7013,2.5,0.531584201,1,45257,1,1.89,0
7013,3,0.531584201,1,45257,1,1.89,1
30253,3,0.793243645,1,67301,2,2.16,0
7013,3.5,0.531584201,1,45257,2,1.89,0
4586,2.5,0.12865242,1,21052,2,2.97,0
53488,2.5,0.705821867,0,71927,2,3.43,0
34250,2.5,0.345547445,0,68167,2,3.1,0
45230,4.5,0.862414327,1,90236,1,2.51,0
39137,3.5,0.264097913,1,63690,2,3.66,0
58191,2,0.139403001,1,41438,1,3.66,0
51930,4,0.624706336,1,49173,2,2.54,0
45230,4,0.862414327,1,90236,2,2.51,0
36755,3.5,0.827533669,1,75916,2,2.12,0
46684,3,0.344250707,1,33787,2,2.33,0
44037,3.5,0.651724686,1,76950,2,2.98,0
57507,3,0.55617577,1,31600,2,2.34,0
46583,3,0.51003585,1,65583,2,3.18,0
38334,4,0.55407732,1,41574,2,2.71,0
38429,3,0.683129928,1,49570,1,2.68,0
7013,2.5,0.531584201,1,45257,2,1.89,1
9992,5,0.920636509,1,45100,1,2.01,0
9262,3.5,0.46804146,1,42661,2,1.98,1
53558,4,0.484652153,1,44150,2,2.9,0
39137,4,0.264097913,1,63690,1,3.66,0
71347,2,0.627861017,1,47691,2,2.64,0
54668,4,0.071412892,1,31065,1,3.89,0
38429,2.5,0.683129928,1,49570,2,2.68,0
34250,3.5,0.345547445,1,68167,1,3.1,0
38538,3.5,0.676293529,0,67154,1,2.3,0
51378,3,0.673264822,0,75307,2,2.56,0
31145,2,0.236506662,0,50236,2,3.2,0
37483,3.5,0.29866873,1,32884,1,2.74,0
15594,4,0.897332307,1,55994,2,2.23,0
38429,4,0.683129928,1,49570,2,2.68,0
25473,4,0.702861854,0,91483,2,2.41,0
24246,3,0.586447249,0,55994,1,2.62,0
36755,4.5,0.827533669,1,75916,1,2.12,0
33432,3.5,0.568347691,1,46399,2,2.11,0
24979,2.5,0.547259698,1,42162,2,2.14,0
18541,4,0.865541233,1,89030,2,2.39,0
37430,3,0.856291745,1,70127,2,2.61,0
37172,4,0.439040138,1,66947,2,3.12,0
7013,3,0.531584201,1,45257,2,1.89,0
7013,3,0.531584201,1,45257,2,1.89,0
19260,3.5,0.87403946,1,90077,2,2.95,0
28366,4,0.708136501,1,44039,1,2.6,0
20479,3.5,0.624444553,1,46920,1,2.07,0
25473,4.5,0.702861854,1,91483,1,2.41,0
7013,1.5,0.531584201,1,45257,2,1.89,0
7013,2.5,0.531584201,1,45257,2,1.89,0
21785,4,0.306770714,1,30776,1,2.38,0
7013,3,0.531584201,1,45257,1,1.89,0
38543,3,0.618166723,0,76253,2,2.64,0
47234,3.5,0.837235889,1,89375,1,3.19,0
47234,3,0.837235889,1,89375,1,3.19,0
53868,3,0.462779387,1,50546,2,3.35,0
25850,3.5,0.480502901,0,62396,2,2.6,0
4649,3,0.556893956,0,29567,2,1.86,0
51378,2.5,0.673264822,1,75307,2,2.56,0
57579,2,0.559579013,1,59292,2,2.52,0
15624,3.5,0.400793651,1,19860,2,1.82,0
40792,3.5,0.782677976,1,63135,2,2.47,0
46684,2.5,0.344250707,1,33787,3,2.33,0
49312,3,0.396374108,1,35676,2,2.33,0
16850,3.5,0.844510386,1,59840,2,1.98,0
17315,4,0.744961017,1,111145,2,2.81,0
37550,3,0.730865513,1,50159,1,2.05,0
4586,2,0.12865242,1,21052,1,2.97,0
22485,3,0.487791861,1,76060,2,2.83,0
7013,2,0.531584201,1,45257,1,1.89,0
22471,4.5,0.900271461,1,73526,1,1.99,0
25473,3.5,0.702861854,1,91483,1,2.41,0
46684,2,0.344250707,1,33787,1,2.33,0
